"Canonical","Status","Source","Dest","Note"
"GRAZYNA_ANALIZA_RAPORT.md","MOVED","E:\Grazyna_5.0\GRAZYNA_ANALIZA_RAPORT.md","E:\Grazyna_5.0\docs\analysis\GRAZYNA_ANALIZA_RAPORT.md","Przeniesiono/ujednolicono nazwÄ™"
"GRAZYNA_HETZNER_READY.md","MOVED","E:\Grazyna_5.0\GRAZYNA_HETZNER_READY.md","E:\Grazyna_5.0\docs\deployment\GRAZYNA_HETZNER_READY.md","Przeniesiono/ujednolicono nazwÄ™"
"GRAZYNA_DB_ANALYSIS.md","MOVED","E:\Grazyna_5.0\README.md","E:\Grazyna_5.0\docs\architecture\GRAZYNA_DB_ANALYSIS.md","Przeniesiono/ujednolicono nazwÄ™"
"GRAZYNA_AUTH_JWT_VS_SESSIONS.md","MOVED","E:\Grazyna_5.0\install.ps1","E:\Grazyna_5.0\docs\architecture\GRAZYNA_AUTH_JWT_VS_SESSIONS.md","Przeniesiono/ujednolicono nazwÄ™"
"GRAZYNA_ML_VS_REGRESSION.md","MOVED","E:\Grazyna_5.0\checker_v2.ps1","E:\Grazyna_5.0\docs\architecture\GRAZYNA_ML_VS_REGRESSION.md","Przeniesiono/ujednolicono nazwÄ™"
"GRAZYNA_EXPRESS_VS_FASTIFY.md","MOVED","E:\Grazyna_5.0\katalog.txt","E:\Grazyna_5.0\docs\architecture\GRAZYNA_EXPRESS_VS_FASTIFY.md","Przeniesiono/ujednolicono nazwÄ™"
"GRAZYNA_FASTIFY_MIGRATION.md","MOVED","E:\Grazyna_5.0\GRAZYNA_FASTIFY_MIGRATION.md","E:\Grazyna_5.0\docs\architecture\GRAZYNA_FASTIFY_MIGRATION.md","Przeniesiono/ujednolicono nazwÄ™"
"GRAZYNA_BACKEND_FIX.ts","MOVED","E:\Grazyna_5.0\backend\GRAZYNA_BACKEND_FIX.ts","E:\Grazyna_5.0\backend\src\system\GRAZYNA_BACKEND_FIX.ts","Przeniesiono/ujednolicono nazwÄ™"
"GRAZYNA_WORKER_THREADS.ts","MOVED","E:\Grazyna_5.0\backend\src\workers\tasks.worker.ts","E:\Grazyna_5.0\backend\src\services\GRAZYNA_WORKER_THREADS.ts","Przeniesiono/ujednolicono nazwÄ™"
"GRAZYNA_LARGE_OBJECT_DIAG.ts","MOVED","E:\Grazyna_5.0\GRAZYNA_TREE.txt","E:\Grazyna_5.0\backend\src\utils\GRAZYNA_LARGE_OBJECT_DIAG.ts","Przeniesiono/ujednolicono nazwÄ™"
"GRAZYNA_OOM_PREDICTOR.ps1","MOVED","E:\Grazyna_5.0\GRAZYNA_OOM_PREDICTOR.ps1","E:\Grazyna_5.0\scripts\monitoring\GRAZYNA_OOM_PREDICTOR.ps1","Przeniesiono/ujednolicono nazwÄ™"
"GRAZYNA_PREDICT_MONITOR.ps1","MOVED","E:\Grazyna_5.0\scripts\GRAZYNA_PREDICT_MONITOR.ps1","E:\Grazyna_5.0\scripts\monitoring\GRAZYNA_PREDICT_MONITOR.ps1","Przeniesiono/ujednolicono nazwÄ™"
"watchdog-ai.ps1","MOVED","E:\Grazyna_5.0\backend\watchdog-ai.ps1","E:\Grazyna_5.0\scripts\monitoring\watchdog-ai.ps1","Przeniesiono/ujednolicono nazwÄ™"
"docker-compose.prod.yml","MOVED","E:\Grazyna_5.0\docker-compose.prod.yml","E:\Grazyna_5.0\infra\docker-compose.prod.yml","Przeniesiono/ujednolicono nazwÄ™"
"ecosystem.config.js","MISSING","","E:\Grazyna_5.0\infra\ecosystem.config.js","Nie znaleziono po nazwie/aliasie/wzorcu treĹ›ci"
"deploy-prod.yml","MOVED","E:\Grazyna_5.0\backend\.github\workflows\deploy.yml","E:\Grazyna_5.0\.github\workflows\deploy-prod.yml","Przeniesiono/ujednolicono nazwÄ™"
